id	item_group_id	title	description	link	image_link	additional_image_link	price	sale_price	sale_price_effective_date	availability	shipping_weight	brand	mpn	condition	product_type	google_product_category	identifier_exists	is_bundle
90	 	Feeder Pole Seed Tray	Please note that this Feeder Pole Seed Tray is not compatible with the Deluxe Feeder Station Kit	http://vinehous.nextmp.net/seed-tray-metal-to-fit-gardman-feeder-g-1108.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/g/1/g1507_feeder_pole_mesh_seed_tray.jpg	 	9.75 GBP	 	 	in stock	0.00 lb	Test	G1108	new	Bird Feeders > Bird Feeder Poles & Feeder Stations,Bird Feeders	 	TRUE	FALSE
91	 	Premier Bird Feeder Station	The Premier Bird Feeder Station stands 226cm high. Please note feeders are not included	http://vinehous.nextmp.net/feeder-station-kit-premier-g1131.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/1/G1131_Feeder_Station_Kit_Premier.jpg	 	19.80 GBP	 	 	in stock	5.00 lb	Test	G1131	new	Bird Feeders > Bird Feeder Poles & Feeder Stations,Bird Feeders	 	TRUE	FALSE
92	 	Fat Ball Feeder Cage	The small fat ball feeder cage holds up to 3 of our Suet Fat Balls. Easy to use, with a hook to hang the cage.	http://vinehous.nextmp.net/fat-ball-cage-g-115.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/1/G115_Fat_Ball_Cage.jpg	 	4.00 GBP	 	 	in stock	0.00 lb	Test	G115	new	Bird Feeders > Suet Feeders,Bird Feeders	 	TRUE	FALSE
93	 	Squirrel Baffler	Keep squirrels off your bird food with this easy to fit Squirrel Baffler. A clear plastic dome you attach to your garden feeder pole that keeps squirrels off your bird food and can act as a rain guard too. The squirrel baffler fits poles of 12mm, 22mm and 25.5mm. Suitable for all Gardman Feeder Station kits and the Droll Yankee Feeder pole. Made from strong plastic, 40cm in diameter	http://vinehous.nextmp.net/squirrel-baffler-clear-gardman-g-1158.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/1/G1158_Squirrel_Baffler_Clear_Gardman_1.jpg	 	18.49 GBP	 	 	in stock	0.50 lb	Test	G1158	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders	 	TRUE	FALSE
97	 	Compact Ground Feeder Tray	The compact ground feeder tray consists of a rigid metal micromesh tray to keep food off the ground and to keep it drier and fresher for longer	http://vinehous.nextmp.net/ground-feeder-compact-g-1305.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/1/G1305_Ground_Feeder_Compact.jpg	 	8.50 GBP	 	 	in stock	1.00 lb	Test	G1305	new	Bird Feeders > Bird Tables,Bird Feeders	 	TRUE	FALSE
98	 	Metal Seed Scoop	An old fashioned style Seed Scoop, easy to handle and makes the job of filling your feeders simple. This Seed Scoop is easy to store and clean	http://vinehous.nextmp.net/seed-scoop-metal-g-1310.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/1/G1310_Seed_Scoop_Metal.jpg	 	8.50 GBP	 	 	in stock	0.50 lb	Test	G1310	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders	 	TRUE	FALSE
99	 	Bird Feeder Station Patio Stand	The Feeder Station Patio Stand fits all our feeder station kits and Droll Yankee poles. Specifically designed to support bird feeding stations, the feeding station patio stand is made from cast iron and the 11kg concrete base offers good stability and a sturdy base	http://vinehous.nextmp.net/feeder-station-kit-patio-stand-g1314.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/1/G1314_Feeder_Station_Kit_Patio_Stand.jpg	 	25.00 GBP	 	 	out of stock	14.00 lb	Test	G1314	new	Bird Feeders > Bird Feeder Poles & Feeder Stations,Bird Feeders	 	TRUE	FALSE
102	 	Deluxe Feeder Station Kit	The feeder station stands 226cm high. The diameter of the pole is approx 23mm, ideal for the feeder station patio stand. Please note feeders are not included	http://vinehous.nextmp.net/feeder-station-kit-deluxe-g1342-gardman.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/1/G1342_Feeder_Station_Kit_Deluxe.jpg	 	25.50 GBP	 	 	out of stock	2.00 lb	Test	G1342	new	Bird Feeders > Bird Feeder Poles & Feeder Stations,Bird Feeders	 	TRUE	FALSE
103	 	Complete Bird Feeder Station	This fantastic feeder station kit comes complete with two seed feeders, one peanut feeder, suet block holder, water bath, fat ball hanger and a micro mesh feeder tray. Simply stake the feeder station into the ground or a patio stand away from predators, fill the feeders and wait for the birds to find it. Stands 226cm high	http://vinehous.nextmp.net/feeder-station-complete-g1343.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/1/G1343_Feeder_Station_Complete.jpg	 	34.50 GBP	 	 	in stock	2.50 lb	Test	G1343	new	Bird Feeders > Bird Feeder Poles & Feeder Stations,Bird Feeders	 	TRUE	FALSE
108	 	Flip Top Suet Roll Holder - Green	Ideal for our suet rolls or suet balls. Height approx. 21.5cm	http://vinehous.nextmp.net/flip-top-suet-roll-holder-g1543.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/1/G1543_Flip_Top_Suet_Roll_Holder.jpg	 	9.00 GBP	 	 	in stock	0.25 lb	Test	G1543	new	Bird Feeders > Suet Feeders,Bird Feeders	 	TRUE	FALSE
113	 	Fat Ball Flip Top Feeder	The Fat Ball Flip Top Bird Feeder is ade from strong steel and plastic with a flip top lid for easy filling	http://vinehous.nextmp.net/fat-ball-flip-top-feeder-g-4242.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/4/G4242_Fat_Ball_Flip_Top_Feeder.jpg	 	5.00 GBP	 	 	in stock	0.20 lb	Test	G4242	new	Bird Feeders > Suet Feeders,Bird Feeders	 	TRUE	FALSE
114	 	Fat Ball Feeder Ring	A fun and eye catching Suet Fat Ball feeder design, made from plastic coated metal	http://vinehous.nextmp.net/fat-ball-feeder-ring-g1186.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/1/G1186_Fat_Ball_Feeder_Ring.jpg	 	8.75 GBP	 	 	in stock	0.50 lb	Test	G1186	new	Bird Feeders > Suet Feeders,Bird Feeders	 	TRUE	FALSE
117	 	Hanging Mealworm Feeder	The moveable clear dome keeps food dry and helps to regulate the size of bird that can use the feeder. The Mealworm Feeder can be hung from a hook or attached to a feeder pole	http://vinehous.nextmp.net/mealworm-feeder-g1320.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/1/G1320_Hanging_Mealworm_Feeder.jpg	 	14.50 GBP	 	 	out of stock	1.00 lb	Test	G1320	new	Bird Feeders > Live Mealworm Feeders,Bird Feeders	 	TRUE	FALSE
138	 	Droll Yankee The One Seed Feeder Tray	The One Feeder Tray is easy to attach and remove from the base of your feeder by simply twisting the base in a single motion. The One Feeder Tray is compatible with all types of The One Feeders in addition to the Ring-Pull feeders, Lifetime feeders and Bird Lovers feeders. The One Feeder Tray is 265mm in diameter	http://vinehous.nextmp.net/droll-yankee-the-one-seed-tray.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJTOT1_Droll_Yankee_The_One_Seed_Tray.jpg	 	12.00 GBP	 	 	in stock	0.25 lb	Test	JJTOT1	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders	 	TRUE	FALSE
143	 	Three Way Bird Feeder Station	The three way feeder station is an all in one feeder station including a 1.7m Droll Yankee garden pole and two wrap around hooks providing a total of three feeder mounting points. Please note the top feeder mounting socket is only suitable for Droll Yankee, Bird Lovers, Onyx and Ring Pull feeders with threaded bases. (Hanging feeders not included)	http://vinehous.nextmp.net/feeder-station-three-way-jj-3way.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJ3WAY_Feeder_Station_Three_Way.jpg	 	23.00 GBP	 	 	in stock	2.00 lb	Test	JJ3WAY	new	Bird Feeders > Bird Feeder Poles & Feeder Stations,Bird Feeders	 	TRUE	FALSE
146	 	Bird Bath Raft	Most birds prefer a shallow water source so if you have a pond, this bird bath raft is ideal and provides birds with essential fresh water. Size 360mm	http://vinehous.nextmp.net/bird-bath-raft-jj-bbr-360mm.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJBBR_Birdbath_Raft.jpg	 	15.80 GBP	 	 	in stock	0.50 lb	Test	JJBBR	new	Bird Care > Bird Baths,Bird Care	 	TRUE	FALSE
156	 	Granary Seed Feeder	The overhanging roof ensures the seed and tray are kept dry. The easily removable roof clicks back in place to ensure it fixes securely. Ideal for seed mixes or sunflowers	http://vinehous.nextmp.net/granary-seed-feeder.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJGRN_Granary_Seed_Feeder.jpg	 	18.50 GBP	 	 	in stock	0.30 lb	Test	JJGRN	new	Bird Feeders > Seed Feeders,Bird Feeders	 	TRUE	FALSE
157	 	Giant Seed Tray and Squirrel Guard	Securely fasten with the supplied clamp to your garden feeder pole, 120cm from the ground	http://vinehous.nextmp.net/giant-seed-tray-and-squirrel-guard.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJGS_Giant_Seed_Tray_and_Squirrel_Guard.jpg	 	31.00 GBP	 	 	in stock	1.00 lb	Test	JJGS	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders	 	TRUE	FALSE
176	 	Observer Window Feeder	Ideal for feeding seed and live food alike, this cleverly designed feeder features a sloping overhang roof helps to keep the food dry in all weathers. W24 x D9.5 x H21cm	http://vinehous.nextmp.net/observer-window-feeder-jj-owf.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJOWF_Observer_Window_Feeder.jpg	 	13.50 GBP	 	 	out of stock	1.00 lb	Test	JJOWF	new	Bird Feeders > Live Mealworm Feeders,Bird Feeders > Seed Feeders,Bird Feeders	 	TRUE	FALSE
184	 	Droll Yankee Garden Feeder Pole	The Droll Yankee Garden Pole is a free-standing pole with a threaded top so you can attach your Droll Yankee or Bird Lovers Feeders. Height:1.7m Diameter: 23cm with removable threaded top	http://vinehous.nextmp.net/droll-yankee-feeder-pole-jj-po.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJPO_Droll_Yankee_Garden_Pole.jpg	 	15.50 GBP	 	 	in stock	1.00 lb	Test	JJPO	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders > Bird Feeder Poles & Feeder Stations,Bird Feeders	 	TRUE	FALSE
186	 	Droll Yankee Plastic Rain Guard	The Droll Yankee Rain Guard fits Droll Yankee and Bird Lovers tubular feeders and can also be used as a squirrel baffle	http://vinehous.nextmp.net/droll-yankee-plastic-rain-guard-jj-rgrd.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJRGRD_Droll_Yankee_Plastic_Rain_Guard.JPG	 	14.50 GBP	 	 	in stock	3.00 lb	Test	JJRGRD	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders	 	TRUE	FALSE
187	 	Ring Pull Perch Rings	Ring Pull Perch Rings are simply two perch rings designed specifically for Ring Pull Feeders. Droll Yankee Ring Pull Perch Rings increase the perching area for each feed port which enables species such as the Robin and Chaffinch to feed more easily from hanging feeders. These perch rings easily click onto the Droll Yankee Ring Pull feeders	http://vinehous.nextmp.net/ring-pull-perch-rings-jj-rp2.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/j/j/jjrp2_ring_pull_perch_rings.jpg	http://vinehous.nextmp.net/media/catalog/product/j/j/jjpr2_droll_yankee_perch_rings_1.jpg	5.50 GBP	 	 	in stock	0.00 lb	Test	JJRP2	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders	 	TRUE	FALSE
195	 	Ring Pull Seed Tray	The Ring Pull Seed Tray is a great accessory for the Ring Pull range of feeders. The tray allows garden birds who normal favour feeding from the ground to feed from the feeder and reduces the amount of seed dropping to the floor. Also included with the tray is a Baselink which is used to attached the tray to your feeder and can also allow you to hang another another feeder beneath. Dimension : 265mm diameter	http://vinehous.nextmp.net/ring-pull-tray.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJRPT1_Ring_Pull_Seed_Tray.jpg	 	10.80 GBP	 	 	in stock	1.00 lb	Test	JJRPT1	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders	 	TRUE	FALSE
199	 	Plastic Seed Scoop	The funnel design of this plastic seed scoop ensures less spillage when filling feeders and has a flat base for easy storage	http://vinehous.nextmp.net/seed-scoop-plastic-jj-sco.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJSCO_Seed_Scoop_Plastic.jpg	 	14.50 GBP	 	 	in stock	0.50 lb	Test	JJSCO	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders	 	TRUE	FALSE
203	 	Super Link Pack of 2	Super Link allows you to hang another feeder or bird food cake beneath any Droll Yankee bird feeder or ring pull feeder. The super link can be used together with either the Droll Yankee seed tray or the Ring Pull Seed Tray	http://vinehous.nextmp.net/super-link-jj-sl-pack-of-2.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJSL_Super_Link_Pack_of_2.jpg	 	5.00 GBP	 	 	in stock	0.01 lb	Test	JJSL	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders	 	TRUE	FALSE
204	 	Droll Yankee Squirrel Slinky	The Squirrel Slinky is a high-tensile steel spring which stretches and lowers as the squirrel attempts to ascend onto the feeder	http://vinehous.nextmp.net/squirrel-slinky.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJSQSL_Squirrel_Slinky_1.jpg	 	13.50 GBP	 	 	in stock	0.50 lb	Test	JJSQSL	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders > Bird Feeder Poles & Feeder Stations,Bird Feeders	 	TRUE	FALSE
205	 	Super Seed Scoop	Fill up your feeders without any spillage or waste with the Super Seed Scoop. Simply scoop up your Vine House Farm seed and transfer to your feeder seamlessly with no spills and then release the seeds through the funnel to your feeder	http://vinehous.nextmp.net/seed-scoop-super-jj-ss.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJSS_Seed_Scoop_Super.jpg	 	7.50 GBP	 	 	in stock	0.20 lb	Test	JJSS	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders	 	TRUE	FALSE
207	 	Wall Bracket	A useful Wall Bracket that can be placed on a wall or garden post to hang your garden bird feeders on. Strong and made to be long lasting. Size: 30cm wide	http://vinehous.nextmp.net/wall-bracket.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJSWB2_Wall_Bracket.jpg	 	7.00 GBP	 	 	in stock	1.00 lb	Test	JJSWB2	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders	 	TRUE	FALSE
217	 	My Favourites Feeder	Impossible for pigeons and uncomfortable for starlings and other large birds, this feeder is perfect for finches, tits, wrens and birds that prefer to cling. With a quick release lid for easy filling. Height: 23cm	http://vinehous.nextmp.net/my-favourites-feeder.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJMF_My_Favourites_Feeder.jpg	 	12.50 GBP	 	 	in stock	0.25 lb	Test	JJMF	new	Bird Feeders > Seed Feeders,Wildlife Products > Gifts,Bird Feeders	 	TRUE	FALSE
218	 	Droll Yankee Pigeon Spacer	Pigeons are well known for stealing seed, by standing on the seed tray attached to feeders. This Pigeon Spacer keeps your feeder contents out of reach and is easy to fit and remove in seconds, with no tools needed. The Pigeon Space can be used with Ring-Pull, The One, Lifetime and Bird Lovers feeders.	http://vinehous.nextmp.net/droll-yankee-pigeon-spacer.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/J/J/JJPGS_Pigeon_Spacer.jpg	 	11.00 GBP	 	 	in stock	0.10 lb	Test	JJPGS	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders > Bird Feeder Poles & Feeder Stations,Bird Feeders	Animals & Pet Supplies > Pet Supplies > Bird Supplies	TRUE	FALSE
221	 	Live Food Bird Feeder	The Live Bird Food Feeder has a hood to help keep the mealworms dry	http://vinehous.nextmp.net/live-food-feeder-k-k17.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/K/K/KK17_Live_Food_Feeder_1.jpg	 	8.75 GBP	 	 	in stock	1.00 lb	Test	KK17	new	Bird Feeders > Live Mealworm Feeders,Bird Feeders	 	TRUE	FALSE
228	 	Plastic Seed Globe Feeder With Tray	The tray attached to the seed globe means less seed will be knocked on the floor while the birds are feeding	http://vinehous.nextmp.net/plastic-seed-globe-with-tray-k7dl.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/K/7/K7DL_Plastic_Seed_Globe_With_Tray.jpg	 	16.00 GBP	 	 	in stock	0.50 lb	Test	K7DL	new	Bird Feeders > Seed Feeders,Bird Feeders	Animals & Pet Supplies > Pet Supplies > Bird Supplies	TRUE	FALSE
236	 	Easy Site Bird Bath	The Easy Site Bird Bath can be positioned with the short stake and secured close to the ground. Alternatively hang it up with chains, or use the clamp for attaching to a feeder pole (fits both Droll Yankee and Gardman poles). Measures 35cm in diameter	http://vinehous.nextmp.net/easy-site-birdbath-m-bb.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/M/B/MBB_Easy_Site_Birdbath.jpg	 	16.00 GBP	 	 	out of stock	5.00 lb	Test	MBB	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders > Bird Feeder Poles & Feeder Stations,Bird Feeders	 	TRUE	FALSE
237	 	Butterfly Feeder	Attract more butterflies to your garden by feeding them a sugary water solution from this attractive Butterfly Feeder, which can be hung or pole mounted. Ideally place the butterfly feeder close to flower beds	http://vinehous.nextmp.net/butterfly-feeder-m-bf.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/M/B/MBF_Butterfly_Feeder.jpg	 	11.92 GBP	 	 	in stock	0.50 lb	Test	MBF	new	Wildlife Products > Wildlife Food,Wildlife Products	 	TRUE	FALSE
239	 	Adjustable Ground Guard	The adjustable ground guard enables you to adjust the mesh to the size you require to keep unwanted ground visitors away and to be in control of those you wish to feed. It can be secured to the ground by stakes and you can also hang seed feeders within. Especially beneficial when keeping Starlings and other medium sized birds away, or squirrels 50.8cm x 50.8cm x 50.8cm (20" x 20" x 20")	http://vinehous.nextmp.net/ground-guard-adjustable-m-gg.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/M/G/MGG_Adjustable_Ground_Guard.jpg	 	28.75 GBP	 	 	in stock	1.00 lb	Test	MGG	new	Bird Feeders > Bird Feeding Accessories,Bird Feeders	Home & Garden > Décor > Garden Feeders > Bird Feeders	TRUE	FALSE
265	 	Nuttery Caged Bird Seed Feeder	Comes with its own hanging bracket and a 36cm x 20cm seed feeder	http://vinehous.nextmp.net/nuttery-sq-res-feeder-seed-36cm-n-22.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/N/2/N22_Nuttery_Caged_Feeder_Seed_36cm.jpg	 	25.00 GBP	 	 	out of stock	2.00 lb	Test	N22	new	Bird Feeders > Seed Feeders,Bird Feeders > Squirrel Proof Bird Feeders,Bird Feeders	Home & Garden > Decor > Garden Feeders > Bird Feeders	TRUE	FALSE
271	 	Oil Seed Rape Bird Seed 13kg	Our Oil Seed Rape can be found in many of our bird seed mixes. Oil Seed Rape is suitable for seed feeders, bird tables and ground feeders.	http://vinehous.nextmp.net/oilseed-rape-13kg.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/o/s/osr13.jpg	 	20.00 GBP	 	 	in stock	13.00 lb	Test	OSR13	new	Bird Food > Straight Bird Foods,Bird Food	Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Food	TRUE	FALSE
